,Area,Category,Fuel Type,Year,Energy Generation (GWH)
2482,TAS,renewable,Small-scale solar PV,2014-15,97
2486,NT,non-renewable ,Natural gas,2014-15,2201
2487,NT,non-renewable ,Oil products,2014-15,751
2490,NT,renewable,Biogas,2014-15,9
2493,NT,renewable,Large-scale solar PV,2014-15,6
2494,NT,renewable,Small-scale solar PV,2014-15,29
2496,All,non-renewable ,Black coal,2015-16,114295
2497,All,non-renewable ,Brown coal,2015-16,48796
2498,All,non-renewable ,Natural gas,2015-16,50536
2499,All,non-renewable ,Oil products,2015-16,5656
2501,All,renewable,"Bagasse, wood",2015-16,2494
2502,All,renewable,Biogas,2015-16,1 296.1
2503,All,renewable,Wind,2015-16,12 199.5
2504,All,renewable,Hydro,2015-16,15318
2505,All,renewable,Large-scale solar PV,2015-16,457
2506,All,renewable,Small-scale solar PV,2015-16,6 381.0
2507,All,renewable,Geothermal,2015-16,0
2508,NSW,non-renewable ,Black coal,2015-16,55335
2510,NSW,non-renewable ,Natural gas,2015-16,4629
2511,NSW,non-renewable ,Oil products,2015-16,290
2513,NSW,renewable,"Bagasse, wood",2015-16,602
2514,NSW,renewable,Biogas,2015-16,445
2515,NSW,renewable,Wind,2015-16,1899
2516,NSW,renewable,Hydro,2015-16,3170
2517,NSW,renewable,Large-scale solar PV,2015-16,400
2518,NSW,renewable,Small-scale solar PV,2015-16,1462
2520,VIC,non-renewable ,Black coal,2015-16,32
2521,VIC,non-renewable ,Brown coal,2015-16,46202
2522,VIC,non-renewable ,Natural gas,2015-16,1892
2523,VIC,non-renewable ,Oil products,2015-16,71
2525,VIC,renewable,"Bagasse, wood",2015-16,235
2526,VIC,renewable,Biogas,2015-16,512
2527,VIC,renewable,Wind,2015-16,3342
2528,VIC,renewable,Hydro,2015-16,3229
2529,VIC,renewable,Large-scale solar PV,2015-16,12
2530,VIC,renewable,Small-scale solar PV,2015-16,1056
2532,QLD,non-renewable ,Black coal,2015-16,48016
2534,QLD,non-renewable ,Natural gas,2015-16,13817
2535,QLD,non-renewable ,Oil products,2015-16,1199
2537,QLD,renewable,"Bagasse, wood",2015-16,1656
2538,QLD,renewable,Biogas,2015-16,116
2539,QLD,renewable,Wind,2015-16,28
2540,QLD,renewable,Hydro,2015-16,492
2541,QLD,renewable,Large-scale solar PV,2015-16,7
2542,QLD,renewable,Small-scale solar PV,2015-16,2 055.9
2543,QLD,renewable,Geothermal,2015-16,0
2544,WA,non-renewable ,Black coal,2015-16,10913
2546,WA,non-renewable ,Natural gas,2015-16,21900
2547,WA,non-renewable ,Oil products,2015-16,3347
2549,WA,renewable,"Bagasse, wood",2015-16,0
2550,WA,renewable,Biogas,2015-16,94
2551,WA,renewable,Wind,2015-16,1 476.5
2552,WA,renewable,Hydro,2015-16,217
2553,WA,renewable,Large-scale solar PV,2015-16,28
2554,WA,renewable,Small-scale solar PV,2015-16,761
2557,SA,non-renewable ,Brown coal,2015-16,2594
2558,SA,non-renewable ,Natural gas,2015-16,4956
2559,SA,non-renewable ,Oil products,2015-16,136
2562,SA,renewable,Biogas,2015-16,95
2563,SA,renewable,Wind,2015-16,4 398.0
2564,SA,renewable,Hydro,2015-16,7
2565,SA,renewable,Large-scale solar PV,2015-16,2
2566,SA,renewable,Small-scale solar PV,2015-16,896
2570,TAS,non-renewable ,Natural gas,2015-16,858
2571,TAS,non-renewable ,Oil products,2015-16,90
2574,TAS,renewable,Biogas,2015-16,27
2575,TAS,renewable,Wind,2015-16,1 056.0
2576,TAS,renewable,Hydro,2015-16,8204
2577,TAS,renewable,Large-scale solar PV,2015-16,0
2578,TAS,renewable,Small-scale solar PV,2015-16,109
2582,NT,non-renewable ,Natural gas,2015-16,2485
2583,NT,non-renewable ,Oil products,2015-16,523
2586,NT,renewable,Biogas,2015-16,8
2589,NT,renewable,Large-scale solar PV,2015-16,9
2590,NT,renewable,Small-scale solar PV,2015-16,42
2592,All,non-renewable ,Black coal,2016-17,118272
2593,All,non-renewable ,Brown coal,2016-17,43558
2594,All,non-renewable ,Natural gas,2016-17,50460
2595,All,non-renewable ,Oil products,2016-17,5273
2597,All,renewable,"Bagasse, wood",2016-17,2308
2598,All,renewable,Biogas,2016-17,1 192.5
2599,All,renewable,Wind,2016-17,12 597.0
2600,All,renewable,Hydro,2016-17,16285
2601,All,renewable,Large-scale solar PV,2016-17,672
2602,All,renewable,Small-scale solar PV,2016-17,7 399.3
2603,All,renewable,Geothermal,2016-17,1
2604,NSW,non-renewable ,Black coal,2016-17,55967
2606,NSW,non-renewable ,Natural gas,2016-17,3331
2607,NSW,non-renewable ,Oil products,2016-17,322
2609,NSW,renewable,"Bagasse, wood",2016-17,697
2610,NSW,renewable,Biogas,2016-17,406
2611,NSW,renewable,Wind,2016-17,1872
2612,NSW,renewable,Hydro,2016-17,3291
2613,NSW,renewable,Large-scale solar PV,2016-17,568
2614,NSW,renewable,Small-scale solar PV,2016-17,1707
2616,VIC,non-renewable ,Black coal,2016-17,36
2617,VIC,non-renewable ,Brown coal,2016-17,43558
2618,VIC,non-renewable ,Natural gas,2016-17,2659
2619,VIC,non-renewable ,Oil products,2016-17,109
2621,VIC,renewable,"Bagasse, wood",2016-17,263
2622,VIC,renewable,Biogas,2016-17,431
2623,VIC,renewable,Wind,2016-17,3561
2624,VIC,renewable,Hydro,2016-17,3673
2625,VIC,renewable,Large-scale solar PV,2016-17,14
2626,VIC,renewable,Small-scale solar PV,2016-17,1232
2628,QLD,non-renewable ,Black coal,2016-17,51043
2630,QLD,non-renewable ,Natural gas,2016-17,12237
2631,QLD,non-renewable ,Oil products,2016-17,1216
2633,QLD,renewable,"Bagasse, wood",2016-17,1292
2634,QLD,renewable,Biogas,2016-17,118
2635,QLD,renewable,Wind,2016-17,29
2636,QLD,renewable,Hydro,2016-17,672
2637,QLD,renewable,Large-scale solar PV,2016-17,34
2638,QLD,renewable,Small-scale solar PV,2016-17,2 335.9
2639,QLD,renewable,Geothermal,2016-17,1
2640,WA,non-renewable ,Black coal,2016-17,11226
2642,WA,non-renewable ,Natural gas,2016-17,22941
2643,WA,non-renewable ,Oil products,2016-17,2884
2645,WA,renewable,"Bagasse, wood",2016-17,56
2646,WA,renewable,Biogas,2016-17,127
2647,WA,renewable,Wind,2016-17,1 616.7
2648,WA,renewable,Hydro,2016-17,213
2649,WA,renewable,Large-scale solar PV,2016-17,34
2650,WA,renewable,Small-scale solar PV,2016-17,941
2653,SA,non-renewable ,Brown coal,2016-17,0
2654,SA,non-renewable ,Natural gas,2016-17,6028
2655,SA,non-renewable ,Oil products,2016-17,183
2658,SA,renewable,Biogas,2016-17,78
2659,SA,renewable,Wind,2016-17,4 413.7
2660,SA,renewable,Hydro,2016-17,4
2661,SA,renewable,Large-scale solar PV,2016-17,4
2662,SA,renewable,Small-scale solar PV,2016-17,1 000.8
2666,TAS,non-renewable ,Natural gas,2016-17,898
2667,TAS,non-renewable ,Oil products,2016-17,22
2670,TAS,renewable,Biogas,2016-17,25
2671,TAS,renewable,Wind,2016-17,1 104.8
2672,TAS,renewable,Hydro,2016-17,8433
2673,TAS,renewable,Large-scale solar PV,2016-17,0
2674,TAS,renewable,Small-scale solar PV,2016-17,122
2678,NT,non-renewable ,Natural gas,2016-17,2367
2679,NT,non-renewable ,Oil products,2016-17,537
2682,NT,renewable,Biogas,2016-17,8
2685,NT,renewable,Large-scale solar PV,2016-17,19
2686,NT,renewable,Small-scale solar PV,2016-17,61
2688,All,non-renewable ,Black coal,2017-18,121702
2689,All,non-renewable ,Brown coal,2017-18,36008
2690,All,non-renewable ,Natural gas,2017-18,53882
2691,All,non-renewable ,Oil products,2017-18,4821
2693,All,renewable,"Bagasse, wood",2017-18,2264
2694,All,renewable,Biogas,2017-18,1 253.3
2695,All,renewable,Wind,2017-18,15 174.4
2696,All,renewable,Hydro,2017-18,16021
2697,All,renewable,Large-scale solar PV,2017-18,1008
2698,All,renewable,Small-scale solar PV,2017-18,8 922.4
2699,All,renewable,Geothermal,2017-18,0
2700,NSW,non-renewable ,Black coal,2017-18,57022
2702,NSW,non-renewable ,Natural gas,2017-18,3046
2703,NSW,non-renewable ,Oil products,2017-18,324
2705,NSW,renewable,"Bagasse, wood",2017-18,765
2706,NSW,renewable,Biogas,2017-18,424
2707,NSW,renewable,Wind,2017-18,2432
2708,NSW,renewable,Hydro,2017-18,2916
2709,NSW,renewable,Large-scale solar PV,2017-18,700
2710,NSW,renewable,Small-scale solar PV,2017-18,2096
2712,VIC,non-renewable ,Black coal,2017-18,13
2713,VIC,non-renewable ,Brown coal,2017-18,36008
2714,VIC,non-renewable ,Natural gas,2017-18,3830
2715,VIC,non-renewable ,Oil products,2017-18,178
2717,VIC,renewable,"Bagasse, wood",2017-18,241
2718,VIC,renewable,Biogas,2017-18,460
2719,VIC,renewable,Wind,2017-18,4304
2720,VIC,renewable,Hydro,2017-18,2803
2721,VIC,renewable,Large-scale solar PV,2017-18,39
2722,VIC,renewable,Small-scale solar PV,2017-18,1481
2724,QLD,non-renewable ,Black coal,2017-18,53635
2726,QLD,non-renewable ,Natural gas,2017-18,11046
2727,QLD,non-renewable ,Oil products,2017-18,1048
2729,QLD,renewable,"Bagasse, wood",2017-18,1253
2730,QLD,renewable,Biogas,2017-18,127
2731,QLD,renewable,Wind,2017-18,30
2732,QLD,renewable,Hydro,2017-18,646
2733,QLD,renewable,Large-scale solar PV,2017-18,172
2734,QLD,renewable,Small-scale solar PV,2017-18,2 760.9
2736,WA,non-renewable ,Black coal,2017-18,11032
2738,WA,non-renewable ,Natural gas,2017-18,24789
2739,WA,non-renewable ,Oil products,2017-18,2167
2741,WA,renewable,"Bagasse, wood",2017-18,6
2742,WA,renewable,Biogas,2017-18,136
2743,WA,renewable,Wind,2017-18,1 587.0
2744,WA,renewable,Hydro,2017-18,221
2745,WA,renewable,Large-scale solar PV,2017-18,46
2746,WA,renewable,Small-scale solar PV,2017-18,1196
2749,SA,non-renewable ,Brown coal,2017-18,0
2750,SA,non-renewable ,Natural gas,2017-18,7753
2751,SA,non-renewable ,Oil products,2017-18,133
2754,SA,renewable,Biogas,2017-18,74
2755,SA,renewable,Wind,2017-18,5 673.9
2756,SA,renewable,Hydro,2017-18,6
2757,SA,renewable,Large-scale solar PV,2017-18,20
2758,SA,renewable,Small-scale solar PV,2017-18,1 163.4
2762,TAS,non-renewable ,Natural gas,2017-18,980
2763,TAS,non-renewable ,Oil products,2017-18,24
2766,TAS,renewable,Biogas,2017-18,24
2767,TAS,renewable,Wind,2017-18,1 147.8
2768,TAS,renewable,Hydro,2017-18,9429
2769,TAS,renewable,Large-scale solar PV,2017-18,1
2770,TAS,renewable,Small-scale solar PV,2017-18,139
2774,NT,non-renewable ,Natural gas,2017-18,2438
2775,NT,non-renewable ,Oil products,2017-18,947
2778,NT,renewable,Biogas,2017-18,9
2781,NT,renewable,Large-scale solar PV,2017-18,31
2782,NT,renewable,Small-scale solar PV,2017-18,86
2784,All,non-renewable ,Black coal,2018-19,119845
2785,All,non-renewable ,Brown coal,2018-19,34460
2786,All,non-renewable ,Natural gas,2018-19,52775
2787,All,non-renewable ,Oil products,2018-19,4923
2789,All,renewable,"Bagasse, wood",2018-19,2164
2790,All,renewable,Biogas,2018-19,1 332.2
2791,All,renewable,Wind,2018-19,17 712.0
2792,All,renewable,Hydro,2018-19,15967
2793,All,renewable,Large-scale solar PV,2018-19,3732
2794,All,renewable,Small-scale solar PV,2018-19,11 116.2
2795,All,renewable,Geothermal,2018-19,0
2796,NSW,non-renewable ,Black coal,2018-19,57735
2798,NSW,non-renewable ,Natural gas,2018-19,2360
2799,NSW,non-renewable ,Oil products,2018-19,323
2801,NSW,renewable,"Bagasse, wood",2018-19,759
2802,NSW,renewable,Biogas,2018-19,419
2803,NSW,renewable,Wind,2018-19,3740
2804,NSW,renewable,Hydro,2018-19,2160
2805,NSW,renewable,Large-scale solar PV,2018-19,1348
2806,NSW,renewable,Small-scale solar PV,2018-19,2717
2808,VIC,non-renewable ,Black coal,2018-19,35
2809,VIC,non-renewable ,Brown coal,2018-19,34460
2810,VIC,non-renewable ,Natural gas,2018-19,3334
2811,VIC,non-renewable ,Oil products,2018-19,205
2813,VIC,renewable,"Bagasse, wood",2018-19,236
2814,VIC,renewable,Biogas,2018-19,498
2815,VIC,renewable,Wind,2018-19,4864
2816,VIC,renewable,Hydro,2018-19,2703
2817,VIC,renewable,Large-scale solar PV,2018-19,463
2818,VIC,renewable,Small-scale solar PV,2018-19,1900
2820,QLD,non-renewable ,Black coal,2018-19,52121
2822,QLD,non-renewable ,Natural gas,2018-19,9934
2823,QLD,non-renewable ,Oil products,2018-19,1001
2825,QLD,renewable,"Bagasse, wood",2018-19,1158
2826,QLD,renewable,Biogas,2018-19,175
2827,QLD,renewable,Wind,2018-19,399
2828,QLD,renewable,Hydro,2018-19,1057
2829,QLD,renewable,Large-scale solar PV,2018-19,1492
2830,QLD,renewable,Small-scale solar PV,2018-19,3 330.2
2832,WA,non-renewable ,Black coal,2018-19,9954
2834,WA,non-renewable ,Natural gas,2018-19,25778
2835,WA,non-renewable ,Oil products,2018-19,2418
2837,WA,renewable,"Bagasse, wood",2018-19,11
2838,WA,renewable,Biogas,2018-19,120
2839,WA,renewable,Wind,2018-19,1 851.2
2840,WA,renewable,Hydro,2018-19,217
2841,WA,renewable,Large-scale solar PV,2018-19,75
2842,WA,renewable,Small-scale solar PV,2018-19,1487
2845,SA,non-renewable ,Brown coal,2018-19,0
2846,SA,non-renewable ,Natural gas,2018-19,7246
2847,SA,non-renewable ,Oil products,2018-19,163
2850,SA,renewable,Biogas,2018-19,85
2851,SA,renewable,Wind,2018-19,5 711.0
2852,SA,renewable,Hydro,2018-19,9
2853,SA,renewable,Large-scale solar PV,2018-19,321
2854,SA,renewable,Small-scale solar PV,2018-19,1 402.5
2858,TAS,non-renewable ,Natural gas,2018-19,620
2859,TAS,non-renewable ,Oil products,2018-19,19
2862,TAS,renewable,Biogas,2018-19,27
2863,TAS,renewable,Wind,2018-19,1 147.2
2864,TAS,renewable,Hydro,2018-19,9821
2865,TAS,renewable,Large-scale solar PV,2018-19,2
2866,TAS,renewable,Small-scale solar PV,2018-19,162
2870,NT,non-renewable ,Natural gas,2018-19,3503
2871,NT,non-renewable ,Oil products,2018-19,795
2874,NT,renewable,Biogas,2018-19,9
2877,NT,renewable,Large-scale solar PV,2018-19,33
2878,NT,renewable,Small-scale solar PV,2018-19,118
2880,All,non-renewable ,Black coal,2019-20,111873
2881,All,non-renewable ,Brown coal,2019-20,33649
2882,All,non-renewable ,Natural gas,2019-20,55216
2883,All,non-renewable ,Oil products,2019-20,4509
2885,All,renewable,"Bagasse, wood",2019-20,1998
2886,All,renewable,Biogas,2019-20,1 353.5
2887,All,renewable,Wind,2019-20,20 395.9
2888,All,renewable,Hydro,2019-20,15150
2889,All,renewable,Large-scale solar PV,2019-20,7136
2890,All,renewable,Small-scale solar PV,2019-20,13 897.1
2891,All,renewable,Geothermal,2019-20,0
2892,NSW,non-renewable ,Black coal,2019-20,53567
2894,NSW,non-renewable ,Natural gas,2019-20,2871
2895,NSW,non-renewable ,Oil products,2019-20,337
2897,NSW,renewable,"Bagasse, wood",2019-20,716
2898,NSW,renewable,Biogas,2019-20,387
2899,NSW,renewable,Wind,2019-20,4574
2900,NSW,renewable,Hydro,2019-20,2110
2901,NSW,renewable,Large-scale solar PV,2019-20,2085
2902,NSW,renewable,Small-scale solar PV,2019-20,3417
2904,VIC,non-renewable ,Black coal,2019-20,12
2905,VIC,non-renewable ,Brown coal,2019-20,33649
2906,VIC,non-renewable ,Natural gas,2019-20,3117
2907,VIC,non-renewable ,Oil products,2019-20,202
2909,VIC,renewable,"Bagasse, wood",2019-20,244
2910,VIC,renewable,Biogas,2019-20,536
2911,VIC,renewable,Wind,2019-20,5596
2912,VIC,renewable,Hydro,2019-20,2311
2913,VIC,renewable,Large-scale solar PV,2019-20,873
2914,VIC,renewable,Small-scale solar PV,2019-20,2457
2916,QLD,non-renewable ,Black coal,2019-20,48569
2918,QLD,non-renewable ,Natural gas,2019-20,11214
2919,QLD,non-renewable ,Oil products,2019-20,984
2921,QLD,renewable,"Bagasse, wood",2019-20,1030
2922,QLD,renewable,Biogas,2019-20,189
2923,QLD,renewable,Wind,2019-20,928
2924,QLD,renewable,Hydro,2019-20,635
2925,QLD,renewable,Large-scale solar PV,2019-20,3335
2926,QLD,renewable,Small-scale solar PV,2019-20,4 120.2
2928,WA,non-renewable ,Black coal,2019-20,9725
2930,WA,non-renewable ,Natural gas,2019-20,26919
2931,WA,non-renewable ,Oil products,2019-20,2302
2933,WA,renewable,"Bagasse, wood",2019-20,8
2934,WA,renewable,Biogas,2019-20,104
2935,WA,renewable,Wind,2019-20,2 122.5
2936,WA,renewable,Hydro,2019-20,206
2937,WA,renewable,Large-scale solar PV,2019-20,175
2938,WA,renewable,Small-scale solar PV,2019-20,1835
2942,SA,non-renewable ,Natural gas,2019-20,6614
2943,SA,non-renewable ,Oil products,2019-20,159
2946,SA,renewable,Biogas,2019-20,97
2947,SA,renewable,Wind,2019-20,5 812.9
2948,SA,renewable,Hydro,2019-20,10
2949,SA,renewable,Large-scale solar PV,2019-20,628
2950,SA,renewable,Small-scale solar PV,2019-20,1 717.6
2954,TAS,non-renewable ,Natural gas,2019-20,197
2955,TAS,non-renewable ,Oil products,2019-20,21
2958,TAS,renewable,Biogas,2019-20,31
2959,TAS,renewable,Wind,2019-20,1 362.0
2960,TAS,renewable,Hydro,2019-20,9878
2961,TAS,renewable,Large-scale solar PV,2019-20,3
2962,TAS,renewable,Small-scale solar PV,2019-20,187
2966,NT,non-renewable ,Natural gas,2019-20,4285
2967,NT,non-renewable ,Oil products,2019-20,504
2970,NT,renewable,Biogas,2019-20,9
2973,NT,renewable,Large-scale solar PV,2019-20,39
2974,NT,renewable,Small-scale solar PV,2019-20,162
